Förvaltnings- och planeringschefer,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Geriatriksjuksköterskor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gjutare,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golvläggare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Grafiska formgivare m.fl.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grovarbetare inom bygg och anläggning,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grundskollärare,3,0,0,2,1,0,0,0,0,2,0,4,1,0,0,1,0,0,0,0,0
Grundutbildade sjuksköterskor,0,2,3,4,1,1,2,2,1,1,3,4,0,1,1,1,2,4,2,1,4
Gymnasielärare,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Handpaketerare och andra fabriksarbetare,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hotellreceptionister m.fl.,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hovmästare och servitörer,3,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0
Idrottstränare och instruktörer m.fl.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industridesigner,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrielektriker,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ingenjörer och tekniker inom bygg och anläggning,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ingenjörer och tekniker inom elektroteknik,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Ingenjörer och tekniker inom kemi och kemiteknik,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ingenjörer och tekniker inom maskinteknik,3,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
Inkasserare och pantlånare m.fl.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Inköpare och upphandlare,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Installations- och serviceelektriker,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intensivvårdssjuksköterskor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journalister m.fl.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kockar och kallskänkor,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kontorsreceptionister,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kundtjänstpersonal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
